,Date_Time,Temperature,Action1,Humidity,Ammonia_Gas_Level,Action2,Light,Action3,Water_Level,Action4,Cleaning
207,02/04/2019 09:58 AM,33,FanOff,50,55,ExhFanOFF,199,LightOFF,60,PumpOff,ProcessOFF
208,02/04/2019 09:58 AM,33,FanOff,51,55,ExhFanOFF,97,LightOFF,60,PumpOff,ProcessOFF
209,02/04/2019 09:57 AM,33,FanOff,51,55,ExhFanOFF,39,LightOFF,60,PumpOff,ProcessOFF
210,02/04/2019 09:57 AM,33,FanOff,51,56,ExhFanOFF,228,LightOFF,60,PumpOff,ProcessOFF
211,02/04/2019 09:56 AM,33,FanOff,51,55,ExhFanOFF,56,LightOFF,60,PumpOff,ProcessOFF
212,02/04/2019 09:55 AM,33,FanOff,51,55,ExhFanOFF,49,LightOFF,60,PumpOff,ProcessOFF
213,02/04/2019 09:55 AM,33,FanOff,51,55,ExhFanOFF,47,LightOFF,60,PumpOff,ProcessOFF
214,02/04/2019 09:54 AM,33,FanOff,51,55,ExhFanOFF,39,LightOFF,60,PumpOff,ProcessOFF
215,02/04/2019 09:54 AM,33,FanOff,51,55,ExhFanOFF,142,LightOFF,60,PumpOff,ProcessOFF
216,02/04/2019 09:53 AM,33,FanOff,51,55,ExhFanOFF,41,LightOFF,60,PumpOff,ProcessOFF
217,02/04/2019 09:52 AM,33,FanOff,51,55,ExhFanOFF,228,LightOFF,60,PumpOff,ProcessOFF
218,02/04/2019 09:52 AM,33,FanOff,51,56,ExhFanOFF,175,LightOFF,60,PumpOff,ProcessOFF
219,02/04/2019 09:51 AM,33,FanOff,51,55,ExhFanOFF,194,LightOFF,60,PumpOff,ProcessOFF
220,02/04/2019 09:51 AM,33,FanOff,51,55,ExhFanOFF,40,LightOFF,60,PumpOff,ProcessOFF
221,02/04/2019 09:50 AM,33,FanOff,51,56,ExhFanOFF,75,LightOFF,60,PumpOff,ProcessOFF
222,02/04/2019 09:49 AM,33,FanOff,51,56,ExhFanOFF,216,LightOFF,60,PumpOff,ProcessOFF
223,02/04/2019 09:49 AM,33,FanOff,51,55,ExhFanOFF,198,LightOFF,60,PumpOff,ProcessOFF
224,02/04/2019 09:48 AM,33,FanOff,51,56,ExhFanOFF,206,LightOFF,60,PumpOff,ProcessOFF
225,02/04/2019 09:48 AM,33,FanOff,51,56,ExhFanOFF,55,LightOFF,60,PumpOff,ProcessOFF
